128.578186,759,3727,2968,0.008186
117.779441,582,3224,2642,0.009441
151.77243,803,4244,3441,0.00243
105.499877,551,2938,2387,0.009877
188.738525,821,4976,4155,0.008525
86.672004,583,2630,2047,0.002004
82.792739,481,2387,1906,0.002739
81.174903,478,2351,1873,0.004903
40.002819,271,1217,946,0.002819
9.492133,62,285,223,0.002133
27.855203,169,815,646,0.005203
121.314483,650,3406,2756,0.004483
126.969535,774,3721,2947,0.009535
105.488258,647,3098,2451,0.008258
151.175109,786,4204,3418,0.005109
168.481369,899,4724,3825,0.001369
240.060699,1095,6416,5321,0.000699
179.3768,881,4901,4020,0.0068
121.85176,744,3573,2829,0.00176
176.918289,955,4979,4024,0.008289
145.012908,806,4120,3314,0.002908
149.532791,807,4208,3401,0.002791
153.545761,846,4350,3504,0.005761
177.588928,945,4975,4030,0.008928
182.104385,942,5056,4114,0.004385
164.33551,880,4613,3733,0.00551
154.17337,818,4315,3497,0.00337
117.602401,613,3273,2660,0.002401
1.915493,21,71,50,0.005493
5.562322,40,173,133,0.002322
176.523452,890,4862,3972,0.003452
177.455627,843,4800,3957,0.005627
173.075958,836,4705,3869,0.005958
13.126881,93,406,313,0.006881
158.178207,777,4322,3545,0.008207
180.397476,849,4866,4017,0.007476
77.366149,466,2258,1792,0.006149
5.834689,46,188,142,0.004689
27.825666,176,826,650,0.005666
162.249801,778,4401,3623,0.009801
149.585235,766,4140,3374,0.005235
142.724609,748,3979,3231,0.004609
86.55886,472,2444,1972,0.00886
100.981468,538,2830,2292,0.001468
101.046691,545,2843,2298,0.006691
112.771316,597,3154,2557,0.001316
112.892242,635,3220,2585,0.002242
137.02478,755,3882,3127,0.00478
139.689453,767,3953,3186,0.009453
167.916549,865,4656,3791,0.006549
182.763244,882,4967,4085,0.003244
184.317886,887,5005,4118,0.007886
181.49295,875,4931,4056,0.00295
180.06462,868,4892,4024,0.00462
172.086318,840,4693,3853,0.006318
179.522262,847,4846,3999,0.002262
178.077407,849,4822,3973,0.007407
170.474838,838,4659,3821,0.004838
41.216751,286,1265,979,0.006751
15.337679,139,523,384,0.007679
7.854053,65,258,193,0.004053
68.376953,429,2024,1595,0.006953
72.486381,455,2146,1691,0.006381
62.86499,380,1837,1457,0.00499
78.049377,478,2291,1813,0.009377
78.185882,474,2287,1813,0.005882
59.726909,341,1712,1371,0.006909
73.655128,436,2137,1701,0.005128
71.008674,419,2058,1639,0.008674
70.260238,415,2037,1622,0.000238
55.272098,307,1570,1263,0.002098
50.835151,277,1435,1158,0.005151
67.544815,400,1960,1560,0.004815
66.622306,395,1934,1539,0.002306
66.169906,393,1922,1529,0.009906
65.839462,392,1914,1522,0.009462
66.065658,393,1920,1527,0.005658
66.13549,394,1923,1529,0.00549
66.274154,393,1924,1531,0.004154
66.552505,394,1931,1537,0.002505
66.761062,394,1935,1541,0.001062
67.649093,400,1962,1562,0.009093
67.073966,394,1941,1547,0.003966
66.69065,390,1927,1537,0.00065
66.516563,389,1922,1533,0.006563
66.081138,385,1907,1522,0.001138
65.872428,385,1903,1518,0.002428
67.369964,396,1950,1554,0.009964
67.021812,394,1940,1546,0.001812
66.830131,392,1933,1541,0.000131
66.882293,392,1934,1542,0.002293
67.073966,394,1941,1547,0.003966
66.39466,388,1918,1530,0.00466
66.481483,387,1918,1531,0.001483
65.854553,381,1896,1515,0.004553
59.678268,359,1741,1382,0.008268
40.930377,221,1152,931,0.000377
66.710968,400,1944,1544,0.000968
70.286827,434,2069,1635,0.006827
63.768314,381,1856,1475,0.008314
76.95977,512,2326,1814,0.00977
75.037742,495,2261,1766,0.007742
74.97142,497,2263,1766,0.00142
74.412223,492,2244,1752,0.002223
73.819869,488,2226,1738,0.009869
74.327293,493,2244,1751,0.007293
74.209358,495,2245,1750,0.009358
73.94625,492,2235,1743,0.00625
74.29853,497,2250,1753,0.00853
74.387733,499,2255,1756,0.007733
74.754402,502,2267,1765,0.004402
74.491218,499,2257,1758,0.001218
74.354774,500,2256,1756,0.004774
74.561691,500,2260,1760,0.001691
74.895401,504,2273,1769,0.005401
75.017623,505,2277,1772,0.007623
72.627395,474,2180,1706,0.007395
72.453399,473,2175,1702,0.003399
74.566284,503,2265,1762,0.006284
73.992729,500,2249,1749,0.002729
74.185493,502,2256,1754,0.005493
73.753051,501,2246,1745,0.003051
73.682502,500,2243,1743,0.002502
73.837608,500,2246,1746,0.007608
73.785903,500,2245,1745,0.005903
73.889312,500,2247,1747,0.009312
